0;ноль
1;один
2;два
3;три
4;четыре
5;пять
6;шесть
7;семь
8;восемь
9;девять
10;десять
11;одиннадцать
12;двенадцать
13;тринадцать
14;четырнадцать
15;пятнадцать
16;шестнадцать
17;семнадцать
18;восемнадцать
19;девятнадцать
20;двадцать
21;двадцать один
22;двадцать два
23;двадцать три
24;двадцать четыре
25;двадцать пять
26;двадцать шесть
27;двадцать семь
28;двадцать восемь
29;двадцать девять
30;тридцать
31;тридцать один
32;тридцать два
33;тридцать три
34;тридцать четыре
35;тридцать пять
36;тридцать шесть
37;тридцать семь
38;тридцать восемь
39;тридцать девять
40;сорок
41;сорок один
42;сорок два
43;сорок три
44;сорок четыре
45;сорок пять
46;сорок шесть
47;сорок семь
48;сорок восемь
49;сорокд евять
50;пятьдесят
51;пятьдесят один
52;пятьдесят два
53;пятьдесят три
54;пятьдесят четыре
55;пятьдесят пять
56;пятьдесят шесть
57;пятьдесят семь
58;пятьдесят восемь
59;пятьдесят девять
60;шестьдесят
61;шестьдесят один
62;шестьдесят два
63;шестьдесят три
64;шестьдесят четыре
65;шестьдесят пять
66;шестьдесят шесть
67;шестьдесят семь
68;шестьдесят восемь
69;шестьдесят девять
70;семьдесят
71;семьдесят один
72;семьдесят два
73;семьдесят три
74;семьдесят четыре
75;семьдесят пять
76;семьдесят шесть
77;семьдесят семь
78;семьдесят восемь
79;семьдесят девять
80;восемьдесят
81;восемьдесят один
82;восемьдесят два
83;восемьдесят три
84;восемьдесят четыре
85;восемьдесят пять
86;восемьдесят шесть
87;восемьдесят семь
88;восемьдесят восемь
89;восемьдесят девять
90;девяносто
91;девяносто один
92;девяносто два
93;девяносто три
94;девяносто четыре
95;девяносто пять
96;девяносто шесть
97;девяносто семь
98;девяносто восемь
99;девяносто девять
100;сто
101;сто один
102;сто два
103;сто три
104;сто четыре
105;сто пять
106;сто шесть
107;сто семь
108;сто восемь
109;сто девять
110;сто десять
111;сто одиннадцать
112;сто двенадцать
113;сто тринадцать
114;сто четырнадцать
115;сто пятнадцать
116;сто шестнадцать
117;сто семнадцать
118;сто восемнадцать
119;сто девятнадцать
120;сто двадцать
121;сто двадцать один
122;сто двадцать два
123;сто двадцать три
124;сто двадцать четыре
125;сто двадцать пять
126;сто двадцать шесть
127;сто двадцать семь
128;сто двадцать восемь
129;сто двадцать девять
130;сто тридцать
131;сто тридцать один
132;сто тридцать два
133;сто тридцать три
134;сто тридцать четыре
135;сто тридцать пять
136;сто тридцать шесть
137;сто тридцать семь
138;сто тридцать восемь
139;сто тридцать девять
140;сто сорок
141;сто сорок один
142;сто сорок два
143;сто сорок три
144;сто сорок четыре
145;сто сорок пять
146;сто сорок шесть
147;сто сорок семь
148;сто сорок восемь
149;сто сорокд евять
150;сто пятьдесят
151;сто пятьдесят один
152;сто пятьдесят два
153;сто пятьдесят три
154;сто пятьдесят четыре
155;сто пятьдесят пять
156;сто пятьдесят шесть
157;сто пятьдесят семь
158;сто пятьдесят восемь
159;сто пятьдесят девять
160;сто шестьдесят
161;сто шестьдесят один
162;сто шестьдесят два
163;сто шестьдесят три
164;сто шестьдесят четыре
165;сто шестьдесят пять
166;сто шестьдесят шесть
167;сто шестьдесят семь
168;сто шестьдесят восемь
169;сто шестьдесят девять
170;сто семьдесят
171;сто семьдесят один
172;сто семьдесят два
173;сто семьдесят три
174;сто семьдесят четыре
175;сто семьдесят пять
176;сто семьдесят шесть
177;сто семьдесят семь
178;сто семьдесят восемь
179;сто семьдесят девять
180;сто восемьдесят
181;сто восемьдесят один
182;сто восемьдесят два
183;сто восемьдесят три
184;сто восемьдесят четыре
185;сто восемьдесят пять
186;сто восемьдесят шесть
187;сто восемьдесят семь
188;сто восемьдесят восемь
189;сто восемьдесят девять
190;сто девяносто
191;сто девяносто один
192;сто девяносто два
193;сто девяносто три
194;сто девяносто четыре
195;сто девяносто пять
196;сто девяносто шесть
197;сто девяносто семь
198;сто девяносто восемь
199;сто девяносто девять
200;двести
201;двести один
202;двести два
203;двести три
204;двести четыре
205;двести пять
206;двести шесть
207;двести семь
208;двести восемь
209;двести девять
210;двести десять
211;двести одиннадцать
212;двести двенадцать
213;двести тринадцать
214;двести четырнадцать
215;двести пятнадцать
216;двести шестнадцать
217;двести семнадцать
218;двести восемнадцать
219;двести девятнадцать
220;двести двадцать
221;двести двадцать один
222;двести двадцать два
223;двести двадцать три
224;двести двадцать четыре
225;двести двадцать пять
226;двести двадцать шесть
227;двести двадцать семь
228;двести двадцать восемь
229;двести двадцать девять
230;двести тридцать
231;двести тридцать один
232;двести тридцать два
233;двести тридцать три
234;двести тридцать четыре
235;двести тридцать пять
236;двести тридцать шесть
237;двести тридцать семь
238;двести тридцать восемь
239;двести тридцать девять
240;двести сорок
241;двести сорок один
242;двести сорок два
243;двести сорок три
244;двести сорок четыре
245;двести сорок пять
246;двести сорок шесть
247;двести сорок семь
248;двести сорок восемь
249;двести сорокд евять
250;двести пятьдесят
251;двести пятьдесят один
252;двести пятьдесят два
253;двести пятьдесят три
254;двести пятьдесят четыре
255;двести пятьдесят пять
256;двести пятьдесят шесть
257;двести пятьдесят семь
258;двести пятьдесят восемь
259;двести пятьдесят девять
260;двести шестьдесят
261;двести шестьдесят один
262;двести шестьдесят два
263;двести шестьдесят три
264;двести шестьдесят четыре
265;двести шестьдесят пять
266;двести шестьдесят шесть
267;двести шестьдесят семь
268;двести шестьдесят восемь
269;двести шестьдесят девять
270;двести семьдесят
271;двести семьдесят один
272;двести семьдесят два
273;двести семьдесят три
274;двести семьдесят четыре
275;двести семьдесят пять
276;двести семьдесят шесть
277;двести семьдесят семь
278;двести семьдесят восемь
279;двести семьдесят девять
280;двести восемьдесят
281;двести восемьдесят один
282;двести восемьдесят два
283;двести восемьдесят три
284;двести восемьдесят четыре
285;двести восемьдесят пять
286;двести восемьдесят шесть
287;двести восемьдесят семь
288;двести восемьдесят восемь
289;двести восемьдесят девять
290;двести девяносто
291;двести девяносто один
292;двести девяносто два
293;двести девяносто три
294;двести девяносто четыре
295;двести девяносто пять
296;двести девяносто шесть
297;двести девяносто семь
298;двести девяносто восемь
299;двести девяносто девять
300;триста
301;триста один
302;триста два
303;триста три
304;триста четыре
305;триста пять
306;триста шесть
307;триста семь
308;триста восемь
309;триста девять
310;триста десять
311;триста одиннадцать
312;триста двенадцать
313;триста тринадцать
314;триста четырнадцать
315;триста пятнадцать
316;триста шестнадцать
317;триста семнадцать
318;триста восемнадцать
319;триста девятнадцать
320;триста двадцать
321;триста двадцать один
322;триста двадцать два
323;триста двадцать три
324;триста двадцать четыре
325;триста двадцать пять
326;триста двадцать шесть
327;триста двадцать семь
328;триста двадцать восемь
329;триста двадцать девять
330;триста тридцать
331;триста тридцать один
332;триста тридцать два
333;триста тридцать три
334;триста тридцать четыре
335;триста тридцать пять
336;триста тридцать шесть
337;триста тридцать семь
338;триста тридцать восемь
339;триста тридцать девять
340;триста сорок
341;триста сорок один
342;триста сорок два
343;триста сорок три
344;триста сорок четыре
345;триста сорок пять
346;триста сорок шесть
347;триста сорок семь
348;триста сорок восемь
349;триста сорокд евять
350;триста пятьдесят
351;триста пятьдесят один
352;триста пятьдесят два
353;триста пятьдесят три
354;триста пятьдесят четыре
355;триста пятьдесят пять
356;триста пятьдесят шесть
357;триста пятьдесят семь
358;триста пятьдесят восемь
359;триста пятьдесят девять
360;триста шестьдесят
361;триста шестьдесят один
362;триста шестьдесят два
363;триста шестьдесят три
364;триста шестьдесят четыре
365;триста шестьдесят пять
366;триста шестьдесят шесть
367;триста шестьдесят семь
368;триста шестьдесят восемь
369;триста шестьдесят девять
370;триста семьдесят
371;триста семьдесят один
